,document,label
0,퇴사한 지 얼마 안 됐지만 천천히 직장을 구해보려고.더 좋은 회사가 기다리고 있을지도 모르는데 쉬고 있기가 좀 그래.,1
1,요즘 직장생활이 너무 편하고 좋은 것 같아!우리 회사는 복지가 정말 좋아! 내가 곧 출산하게 되는데 육아휴직 기간도 긴 데다가 소정의 지원금도 제공해줘!,1
2,취업해야 할 나이인데 취업하고 싶지가 않아.아직 조금 더 놀고 싶은 마음이 커. 인생은 긴데 꼭 빨리 취업해야 할까 싶어.,1
3,우리 회사는 정말 사내 분위기가 좋아.즐거운 일이 매일 생길 거 같은 기분이야. 내가 원하는 진로로 취업해서 더 그런 거 같아.,1
4,오늘 내가 다니는 회사가 참 좋은 직장이라는 생각이 들었어.회사에서 내가 제안한 프로젝트를 항상 긍정적으로 검토해주시고 의견에 귀를 기울여주시거든. 이렇게 서로 존중하면서 소통할 수 있는 우리 회사가 아주 좋아.,1
5,회사에서 전공시험을 봤어. 오늘 시험 결과가 나왔어.열심히 준비한 만큼 원하던 점수가 나왔어.,1
6,오늘 입사 면접을 봤어.면접을 잘 본 것 같아! 그 회사에 취업할 수 있겠어.,1
7,회사에서 나를 참 신뢰하는 것 같아. 그건 기분이 좋아.당연히 내가 업무를 잘 처리해서지. 그런데 내가 잘해선지 일이 자꾸 늘어나네? ,1
8,먼저 취업한 선배가 면접 비결을 알려줬어. 곧 면접 보러 가는데 든든해.면접 볼 때 태도 같은 일반적인 거야. 하지만 그렇게 나를 챙겨주는 사람이 있다는 게 든든해.,1
9,직장 상사로부터 칭찬을 받았는데 너무 신이 나!다른 사람이 실수한 일을 내가 깔끔하게 처리해서 칭찬을 받았어.,1
10,취업해서 너무 신이 나!나는 월급을 받아서 부모님께 용돈을 드리고 싶어!,1
11,오늘 사장님께 칭찬받아서 매우 기뻐.전 직원 앞에서 내 이름을 부르셨거든. 앞으로도 일을 열심히 해야겠어.,1
12,지난주에 정말 가고 싶던 회사에 원서 접수했는데 합격했어. 매우 기뻐.응. 이제 면접만 합격하면 돼. 열심히 준비해서 꼭 합격할 거야.,1
13,나 드디어 원하는 회사에 취업했어!그동안 취업을 못 해서 부모님께 죄송한 마음도 들고 걱정도 컸는데 이젠 한시름 놓았어.,1
14,나 오늘 네이버 인턴 면접 봤는데 내가 봐도 잘 본 것 같아.준비한 질문이 나와서 준비한 대로 내가 가진 장점을 어필할 수 있었어. 면접관들도 내 답변에 만족스러운 눈치였고.,1
15,결혼한 지 삼 년 만에 아이를 낳았어. 진짜 기뻐.아내와 아이가 모두 건강했으면 좋겠어.,1
16,그녀가 나에게 사귀자고 고백했어. 나도 원하고 있었는데 지금 기분이 너무 좋아.일단 오늘은 함께 식사하면서 마음을 교류하고 싶어. 천천히 꾸준하게 이어나갈 거야.,1
17,나 최근에 면접 본 회사가 세 곳인데 왠지 다 붙을 것 같아. 이번에는 자신 있어!준비도 철저히 했고 면접 분위기도 좋았거든.,1
18,나 그래도 다행인 부분이 첫 연애를 좋게 시작해서 좋은 것 같아.내가 그래도 여자 복이 없지는 않은지 여자친구랑 너무 잘 맞아.,1
19,나 이번에 지원한 회사 최종합격할 것 같은 기분이 들어!그동안 지원하는 곳마다 불합격이어서 우울했는데 이번에는 진짜 제대로 준비했어. 합격할 것 같다는 자신감이 들어.,1
20,나 드디어 유튜브 십만 구독자에 도달했어!다니던 직장 그만두고 시작한 유튜브였는데 너무 보람차,1
21,나 몇 년 동안 신입으로만 다니던 회사에서 정식 사원으로 승진했어!평소에 배우려다가 시간이 없어서 포기한 기타를 시작해보려고. ,1
22,나 몇 년 동안 신입으로만 다니던 회사에서 정식 사원으로 승진했어.응. 그래서 평소에 배우려다가 시간이 없어서 포기한 기타를 시작해보려고. ,1
23,나는 요즘 대인관계가 편안해.응. 편하게 말할 곳이 많아져서 기분도 좋아.,1
24,나는 이성에 대해 자신감 넘쳐. 나는 너무 멋있는 것 같아.자신감 부족했던 과거에 비하면 현재가 훨씬 나은 거겠지.,1
25,난 나를 믿어. 그래서 취업난에도 굴하지 않고 끊임없이 입사 지원을 하고 있어.내 길을 걸으면서 얻을 것이 많을 걸 알기에 포기하지 않고 있어!,1
26,난 사람들 만나는 것보다 집에 혼자 있는 게 더 좋은데 대인관계가 꼭 필요할까?내가 필요한 사람만 필요한 때에 만나면 되지 그렇지 않은 사람을 꼭 만날 필요는 없잖아.,1
27,남들은 취업 때문에 정신없을 텐데 나는 마음이 느긋해나는 이미 정해진 직장이 있거든. 그래서 졸업하고 가기만 하면 돼.,1
28,내 여자친구가 바람이 난 것 같아서 의심했어.재차 확인하니 바람난 것이 아니었어. 그래서 안도감이 들었어.,1
29,내 여자친구가 프러포즈를 받아줄 것 같은 확신이 들어.결혼에 대해서 최근에 조금씩 조심스레 얘기를 꺼내 봤는데 여자친구 반응이 긍정적이더라고.,1
30,내가 좋아하는 사람이 있는데 오늘 고백을 할 거야. 그런데 왠지 느낌이 좋아.응 그 친구와 살짝 손이 닿은 적도 있고 나 같은 사람이 남자친구면 좋겠다는 얘기도 자주 하고 그래. 이번 크리스마스 때는 혼자 지내지 말아야지.,1
31,내가 친해지고 싶은 사람과 전화번호를 교환했어.응. 같이 다음 주에 밥을 먹기로 해서 기분이 너무 좋아.,1
32,대표님이 나를 갑자기 따로 부르더니 나에게 대학원을 보내주겠다는 제안을 했어. 나를 한 단계 더 발전시킬 기회라 너무 기뻐.교육비는 전액 지원이고 급여는 기본급 제공이래. 이 회사가 나를 이렇게 대우해주니 난 여기서 뼈를 묻어야겠어. 역시 직원을 편안하게 해주는 우리 회사가 최고야.,1
33,대학수학능력시험을 잘 봐서 서울대에 지원했어.시험을 한 개만 틀려서 느긋하게 기다리고 있어.,1
34,독립해서 산 지 오래되다 보니 늘 외로웠거든. 결혼하니까 항상 날 기다려주는 사람이 있다는 것에 집에 가는 것이 즐거워.내가 힘들 때 위로를 해주고 내 편이 되어 준다는 점이 가장 좋아. 그리고 처가까지 가족이 더 확장된 점도 좋고. 진작에 결혼할 것을 그랬어.,1
35,동업하는 친구가 내게 부탁한 일이 있는데 거의 다 해서 느긋하게 마무리하는 중이야.맞아. 열심히 했으니 친구도 만족스러워하겠지?,1
36,부하직원이 있는데 너무 일도 잘하고 신뢰가 가.일도 잘해서 너무 좋아.,1
37,삼 년 동안 준비한 자격증 시험 드디어 합격했어. 눈물 난다.합격이라는 문구 보고 그동안 고생은 잊히고 눈물이 나더라,1
38,서먹서먹했던 친구에게서 어젯밤에 연락이 왔어!이번 주말에 만나서 그동안 못했던 얘기를 해보기로 했어. 정말 기쁘다!,1
39,신뢰하는 친구가 있는데 내가 돈을 빌려줬어.그 친구는 돈 빌린 것은 절대 안 돌려주거나 하지 않아. 일자리를 알아보고 있대.,1
40,아내가 출산을 무사히 해줘서 기분이 좋아.지금 보다 더 열심히 사랑하겠다고 말하고 싶어.,1
41,어제 실수로 삭제해버린 프레젠테이션 자료를 드디어 복구했어. 회의 시간에 겨우 맞춘 것 같아.집에서 맥주 한 잔을 마시고 싶지만 그 전에 회의를 성공적으로 마쳐야겠지? 방심하면 안 되겠어.,1
42,어제 아내가 건강하게 출산을 했어. 너무나 감사한 마음이야.물론이야. 꽃을 좋아하는 아내를 위해 집을 꽃으로 단장할 거야.,1
43,여자친구가 임신이 되기 힘든 몸이라 그랬었는데 임신이 된 거 있지? 기분 좋아서 어떻게 해야 될지 모르겠어.너무 좋지. 아이와 여자친구를 위해 어떤 물건을 살지 고민이야. ,1
44,오늘 기쁜 소식이 있어. 몇 년 동안 준비해왔던 공무원 시험에 합격했어.이제 하고 싶은 것들을 마음껏 하고 살 수 있을 것 같아 너무 신이 나.,1
45,오늘 발표를 정말 잘한 것 같아!발표할 때 버벅거린 것도 없었고 무엇보다 사람들 반응이 좋았어! 처음으로 만족스러운 발표야.,1
46,오랜 기간 연애하다가 결혼에 골인해서 만족감이 들어.사랑하는 사람과 평생 함께할 수 있어서 좋은 것 같네.,1
47,와! 정말 신난다. 내일 여자친구랑 첫 데이트가 예정되어있어.나 정말 흥분돼. 행복한 감정이 주체가 안 되네.,1
48,요즘 사람들 만나고 다니는 게 너무 행복해!최근에 무슨 이야기를 해도 잘 들어주고 내가 의지할 수 있는 고마운 사람들을 만났거든.,1
49,요즘은 크게 고민도 없고 평온해. 이런 기분 좋다.다니고 싶은 직장에 취직도 했고 일도 잘 맞아. 생활에 여유도 생겨서 너무 좋아.,1
50,우리 직렬이 드디어 직고용됐어. 오랜 기간 싸워왔는데 결국 원하는 결과를 얻어서 다행이야.아쉽게도 모두를 다 챙길 수는 없었어. 그래도 다 잘 마무리되어서 너무 후련하고 기쁘다.,1
51,이 취업난에 취업하게 되었어. 나에게 기회를 준 이 회사에 감사해.이 회사에 보탬이 되는 인력이 될 거야!,1
52,이번 달 생활비가 모자라 곤란했는데 다행히 해결됐어.사장님께 부탁드리니 월급을 가불해 주셨어. 너무 감사해.,1
53,이번 연극에서 내 친구가 감독으로 데뷔를 하더라고.그 연극에 출연하고 싶어서 오디션 기회를 달라고 그 친구한테 부탁했는데 친구 덕분에 붙었어! 너무 기뻐!,1
54,이번 직장은 나랑 잘 맞아서 다행이야. 업무도 재밌고 동료들도 좋아.동료들과 잘 지낼 거야. 업무 능력을 키우기 위해 주말에 공부도 해야지. ,1
55,이번에 내가 들어가고 싶은 기업에서 근무하는 선배로부터 취업에 대한 피드백을 받았어. 너무 기뻐!아무래도 실제로 그 회사에 일하는 사람에게서 조언을 듣는 것만큼 믿을 만한 정보는 없으니까!,1
56,이번에 드디어 취업이 됐어. 날아갈 것만 같은 기분이야.난 이제 멋지고 유능한 직장인이 될 거야.,1
57,아프긴 해도 혼자 사니까 다른 사람 신경 쓰지 않아도 되고 모은 돈으로 살 수 있어서 좋아.혼자 살아서 돈을 넉넉하게 모을 수 있었어. 병원비가 꽤 나가더라고.내가 좋아하는 취미 생활을 찾는 것이 가장 중요한 것 같아.,1
58,경제적으로 여유 있어 아픈 것만 빼면 삶이 너무 즐거워.어릴 때 열심히 일해서 벌어 두길 정말 잘한 것 같아.건강을 위해 운동을 꾸준히 하며 관리하고 있어.,1
59,건강 검진을 받아도 경제적으로 여유로워 마음이 편해.맞아. 검사비가 많이 나오니까 전에는 그런 점들이 걱정이었어.재테크에 성공해서 경제적인 여유가 생겼어.,1
60,만성 질환을 앓고 있어도 경제적으로 여유로워 약값 걱정이 안 돼.그래서 약을 꾸준히 먹고 있어. 만성 질환엔 꾸준히 약을 먹는 게 중요하더라고.당연하지. 계속 잘 관리해서 건강하게 오래오래 살 거야.,1
61,아들이 병원 갈 때 함께 가주고 병원비도 내줘서 너무 든든해.아들이 병원 예약이 있는 날마다 항상 함께 가 줘. 병원비도 부담될 텐데 전혀 내색하지 않아.아들을 위해서 더욱 건강하게 관리해야지.,1
62,내가 가지고 있는 질환은 보험이 잘 돼서 다행이야. 친구는 질병 보험이 안 돼서 돈이 많이 든다더라고.그러게 말이야. 나는 다행히도 혜택을 많이 받아서 보험을 잘 들어 놓은 것 같아.주변 사람이 잘 소개해줬지. 나도 친구에게 내 보험을 소개시켜 줘야겠어.,1
63,나는 앞으로 건강 관리에 최선을 다할 거야. 돈 걱정은 없어서 많은 투자를 할 수 있어.돈보다도 더 건강이 더 중요하니까 앞으로 최선을 다해보려고 해.운동을 열심히 하고 나에게 맞는 영양제를 꾸준히 챙겨 먹어야지.,1
64,나는 예전부터 세계 여행이 내 꿈이었어. 만성 질환이 치료만 된다면 내 꿈을 이룰 거야.지금 치료 중이라 당장은 어렵지만 언젠가는 꼭 꿈을 이루고 말 거야.나는 스페인에 가장 먼저 가고 싶어. 친구들이 스페인이 제일 멋있었다고 하더라고.,1
